#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	6	E31
3	3	4	E29
4	4	1       E27
5	5	8       E25
42	6	5 	E2
6	7	14	E23
43	8	3	E4
7	9	12	E21
44	10	7	E6
8	11	10	E19
45	12	2	E8
9	13	16	E17
46	14	9	E10
10	15	22	E15
47	16	13	E12
11	17	17	E13
48	18	15	E14
12	19	18	E11
49	20	11	E16
13	21	24	E9
50	22	19	E18
14	23	31	E7
51	24	21	E20
15	25	27	E5
52	26	23	E22
16	27	32	E3
53	28	20	E24
17	29	29	E1
54	30	25	E26
21	31	34	E63
55	32	26	E28
22	33	48	E61
56	34	30	E30
23	35	41	E59
57	36	28	E32
24	37	36	E57
61	38	33	E34
25	39	42	E55
62	40	40	E36
26	41	56	E53
63	42	35	E38
64	43	39	E40
65	44	38	E42
66	45	37	E44
27	46	43	E51
67	47	49	E46
28	48	50	E49
68	49	47	E48
29	50	44	E47
69	51	64	E50
30	52	46	E45
70	53	57	E52
31	54	45	E43
71	55	51	E54
32	56	58	E41
72	57	55	E56
33	58	52	E39
73	59	63	E58
34	60	54	E37
74	61	59	E60
35	62	53	E35
75	63	60	E62
36	64	61	E33
76	65	62	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
