# Id serial (old Id)
# missing manuId 1332 only for old Id
  1  bp 11306 301
  2  bp 11307 1325
  3  bp 10738 1326
  4  bp 10614 1327
  5  bp 10622 1328
  6  bp 10536 1329
  7  bp 10790 1330
  8  bp 10511 1331
  9  bp 11303 311
 10  bp 11308 310
 11  bp 11208 309
 12 nbp 11215 308
 13 nbp 11198 307
 14 nbp 11217 306
 15 nbp 11295 305
 16 nbp 11216 304
 17 nbp 11246 303
 18 nbp 11300 302
 19  bp 10539 1333
 20  bp 10003 1334
 21  bp 10586 1335
 22  bp 11312 316
 23  bp 11301 315
 24 nbp 11309 314
 25 nbp 11310 313
 26 nbp 11293 312
101 nbp 11361 201
102 nbp 11360 202
103  bp 11164 203
104  bp 10780 1226
105 nbp 10491 1225
106 nbp 11170 204
107  bp 11153 205
108  bp 11152 206
109 nbp 10292 1228
110 nbp 10538 1227
111 nbp 11358 207
112  bp 11135 208
113  bp 11315 209
114  bp 11244 210
115  bp 11292 211
116  bp 10434 1232
117 nbp 10417 1231
118 nbp 10530 1230
119 nbp 10534 1229
201  bp 11223 1125
202  bp 11180 1126
203  bp 11179 102
204 nbp 11218 101
205 nbp 11317 1127
206  bp 11209 1128
207  bp 11290 104
208  bp 11305 103
209 nbp 11194 1129
210 nbp 11192 1130
211  bp 11211 1131
212  bp 11199 109
213  bp 11245 108
214  bp 11214 107
215  bp 11304 106
216 nbp 11190 105
301 nbp 11183 1034
302 nbp 11155 1033
303 nbp 11313 1032
304 nbp 11185 1031
305 nbp 11212 1030
306 nbp 11264 1029
307 nbp 11193 1028
308 nbp 11207 1027
309 nbp 11239 1026
310 nbp 11184 1025
311 nbp 11248 1
312 nbp 11265 2
313 nbp 11234 3
314 nbp 11235 4
315 nbp 11187 5
316 nbp 11222 6
317 nbp 11220 7
318 nbp 11137 8
319 nbp 11177 9
320 nbp 11359 10
321 nbp 11225 1041
322 nbp 11228 1040
323 nbp 11269 1039
324 nbp 11224 1038
325 nbp 11230 1037
326 nbp 11221 1036
327 nbp 11237 1035
328 nbp 11189 11
329 nbp 11203 12
330 nbp 11205 13
331  bp 11291 14
332  bp 11182 15
333  bp 11242 1045
334  bp 11200 1044
335  bp 11268 1043
336  bp 11270 1042
401 nbp 11191 401
402 nbp 11247 402
403 nbp 11311 403
404 nbp 11314 404
405 nbp 11123 405
406 nbp 11294 406
407 nbp 11186 407
408 nbp 11122 408
409 nbp 11196 409
410 nbp 10630 410
411  bp 11197 411
412  bp 11271 412
413  bp 11241 413
