#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	5	E31
3	3	6	E29
4	4	2       E27
5	5	9       E25
42	6	4 	E2
6	7	11	E23
43	8	3	E4
7	9	12	E21
44	10	7	E6
8	11	  	E19
45	12	8	E8
9	13	15	E17
46	14	10	E10
10	15	21	E15
47	16	1 	E12
11	17	22	E13
48	18	13	E14
12	19	18	E11
49	20	14	E16
13	21	25	E9
50	22	20	E18
14	23	27	E7
51	24	19	E20
15	25	28	E5
52	26	23	E22
16	27	31	E3
53	28	24	E24
17	29	  	E1
54	30	26	E26
21	31	46	E63
55	32	17	E28
22	33	45	E61
56	34	29	E30
23	35	33	E59
57	36	30	E32
24	37	42	E57
61	38	  	E34
25	39	40	E55
62	40	47	E36
26	41	39	E53
63	42	44	E38
64	43	43	E40
65	44	41	E42
66	45	34	E44
27	46	35	E51
67	47	38	E46
28	48	36	E49
68	49	37	E48
29	50	62	E47
69	51	63	E50
30	52	61	E45
70	53	  	E52
31	54	49	E43
71	55	60	E54
32	56	58	E41
72	57	59	E56
33	58	56	E39
73	59	57	E58
34	60	55	E37
74	61	50	E60
35	62	51	E35
75	63	54	E62
36	64	52	E33
76	65	53	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
